iter	F1	Logloss
63	0.8323820617	0.4057744519
64	0.8333721743	0.4040871209
65	0.8335525549	0.4031916624
66	0.8336248105	0.4024276091
67	0.834304358	0.4012161149
68	0.8341467477	0.4003817233
69	0.8345266243	0.3994520349
70	0.8352266112	0.3984140504
71	0.8355011477	0.3975105037
72	0.8356089205	0.3968916797
73	0.836046763	0.3961380579
74	0.8359878177	0.3954311299
75	0.8361408882	0.3947216423
76	0.836060934	0.394255294
77	0.8367982157	0.3931402088
78	0.837138863	0.3922261482
79	0.837489395	0.3916170791
80	0.8371186892	0.3910203222
81	0.8371085943	0.3904800099
82	0.838037198	0.3897659424
83	0.8376028515	0.3892190541
84	0.8378360372	0.3887182138
85	0.8372558171	0.3883252412
86	0.8378162184	0.3875985383
87	0.8375868909	0.3870252466
88	0.8375729288	0.3865212739
89	0.8379418971	0.3856061719
90	0.8386656002	0.384901534
91	0.8386139769	0.384288821
92	0.8389268455	0.3836430769
93	0.8398881082	0.382616427
94	0.8399440504	0.382216759
95	0.8407408024	0.3815560953
96	0.8411177645	0.3811740762
97	0.8409457728	0.3806767413
98	0.8411417159	0.3801985776
99	0.841015742	0.3796296165
100	0.841015742	0.3792369626
101	0.8410527717	0.3783844728
102	0.8413366378	0.3777590838
103	0.841378622	0.3772611601
104	0.8414066139	0.3767140329
105	0.8412627095	0.3764095029
106	0.841993214	0.3759740537
107	0.8426949482	0.3754854136
108	0.841905586	0.3750778409
109	0.8419704204	0.3744665711
110	0.8423328289	0.3738967246
111	0.8423521584	0.373271631
112	0.8425009564	0.3721073882
113	0.8424395597	0.3717742033
114	0.8426723421	0.3712166481
115	0.8424028739	0.3708080979
116	0.8428264955	0.3703996441
117	0.8426863537	0.3700476307
118	0.8435613933	0.3690500013
119	0.8437744128	0.3686899206
120	0.8438866262	0.3682550714
121	0.8444806328	0.3679652426
122	0.8445729286	0.3675300857
123	0.8444887449	0.3671412244
124	0.844961884	0.366801233
125	0.8452444208	0.3663031726
126	0.8456251038	0.3657971387
127	0.8453426773	0.365303857
128	0.8456531846	0.365011964
129	0.8458793261	0.3645126411
130	0.8463095712	0.3638882794
131	0.846598075	0.3636225684
132	0.8461742827	0.3629650295
133	0.8464564968	0.3626465043
134	0.8472314434	0.361741647
135	0.8470056947	0.3614193126
136	0.8475622915	0.3610103598
137	0.8476821192	0.3607651977
138	0.8475060171	0.3605073945
139	0.8476045021	0.3602379005
140	0.847646717	0.3599700508
141	0.8479426361	0.3597708043
142	0.8487452106	0.3593294711
143	0.8486115258	0.3590895631
144	0.8493078007	0.3587398799
145	0.849483579	0.3582624925
146	0.8500737451	0.3577001636
147	0.8502353019	0.357373707
148	0.8500455713	0.3571954079
149	0.8503198436	0.3569327642
150	0.850937645	0.3562628595
151	0.8515549962	0.355749265
152	0.8516114074	0.3554187097
153	0.8512541834	0.3551823244
154	0.8513873934	0.3549841891
155	0.8518089054	0.3547637178
156	0.8517745303	0.3543525301
157	0.8517745303	0.3541319623
158	0.8518733326	0.3539190999
159	0.8525953162	0.3533516504
160	0.8525670752	0.3528118376
161	0.852776582	0.3526372661
162	0.8528048215	0.3518882823
163	0.8530706837	0.351149549
164	0.8534833692	0.3507616386
165	0.8536302866	0.3505240023
166	0.8535822452	0.3501727038
167	0.8538195536	0.3497623875
168	0.8543024448	0.3494305557
169	0.8542545623	0.3490540859
170	0.8548221671	0.3487674684
171	0.8547938861	0.3483283017
172	0.8544807613	0.3480704574
173	0.8550679085	0.3473876653
174	0.8546700205	0.3471298595
175	0.855158041	0.3469487108
176	0.8553188674	0.3467773799
177	0.8553047217	0.3466198026
178	0.8551721856	0.3464185507
179	0.8551103464	0.3461966436
180	0.8550537634	0.3459629876
181	0.8554938149	0.3454730399
182	0.8555979959	0.3453225184
183	0.8556970399	0.3451249629
184	0.855810261	0.3447931484
185	0.8562641578	0.3444403822
186	0.856306634	0.3442250607
187	0.8568642359	0.3439396901
188	0.8571097998	0.3437848928
189	0.8571664711	0.3436192715
190	0.8570200526	0.3432090475
191	0.8571664711	0.3428346063
192	0.857048389	0.3424615223
193	0.8571523026	0.3423059086
194	0.8575017354	0.34172607
195	0.8574592209	0.3414944921
196	0.8575867769	0.3412091461
197	0.8577331174	0.3409042023
198	0.8580212224	0.3405644068
199	0.8581391506	0.3401583718
200	0.8582145041	0.3399810039
201	0.8584414511	0.3396518447
202	0.8588800952	0.3394706471
203	0.8588091462	0.3392555552
204	0.8587622903	0.3390818361
205	0.8587949578	0.3388653142
206	0.858823335	0.3387161887
207	0.8585735061	0.3384467084
208	0.8587622903	0.3381494633
209	0.8587764815	0.3378107738
210	0.8590646174	0.3375154273
211	0.8588190577	0.3372954597
212	0.8590404441	0.3370321929
213	0.8595963933	0.3367120239
214	0.8596673768	0.3364461203
215	0.8598417915	0.3359549091
216	0.8596957735	0.3357094831
217	0.8597809749	0.3354393894
218	0.8598661931	0.3351791477
219	0.8599838132	0.3349191272
220	0.8601582242	0.3347615253
221	0.8600548416	0.3344771313
222	0.8600548416	0.334377342
223	0.8603894495	0.3341787159
224	0.860606461	0.3339853465
225	0.860517361	0.3338318551
226	0.8606917512	0.3336512852
227	0.8606737489	0.3334483961
228	0.8605277507	0.3333413942
229	0.8609372161	0.3330586987
230	0.8607486207	0.3329941755
231	0.8611721188	0.3328704982
232	0.861068904	0.3327572409
233	0.8612859007	0.332519006
234	0.8610652217	0.3323055306
235	0.861050997	0.3322126125
236	0.8611078987	0.3318919679
237	0.8610936726	0.3317074653
238	0.8610757663	0.3315158704
239	0.8613534232	0.331337542
240	0.8614103496	0.3310492024
241	0.8614245824	0.3308691139
242	0.8617483361	0.3306259748
243	0.8620541612	0.3303866187
244	0.8620826315	0.3302495354
245	0.8622995756	0.3299616903
246	0.8626194918	0.3293437831
247	0.8627509245	0.3292481509
248	0.8629393024	0.3289680771
249	0.8628253586	0.3288025163
250	0.8628253586	0.3286581612
251	0.8631735292	0.3283159246
252	0.8629108136	0.328208119
253	0.8629393024	0.3281061865
254	0.8630991681	0.3278918833
255	0.86334758	0.3278184831
256	0.86320202	0.3276604165
257	0.8632447599	0.32747485
258	0.8632590074	0.3269878863
259	0.86320202	0.3268354341
260	0.8634788635	0.3265984483
261	0.8636101166	0.3264833637
262	0.863872532	0.3263284924
263	0.8643371865	0.3261937779
264	0.8645707974	0.3259975234
265	0.8644540074	0.3258271015
266	0.8647303178	0.3254403027
267	0.8649325817	0.3253245144
268	0.8648301103	0.3251401121
269	0.8647730832	0.3249552557
270	0.8647730832	0.3248680284
271	0.8651659471	0.3247844664
272	0.8650920539	0.324561867
273	0.8651516899	0.3244204931
274	0.8653136531	0.3242605879
275	0.8656037947	0.3241510869
276	0.8656608249	0.3239365772
277	0.8656893428	0.3238649063
278	0.8656893428	0.3236701956
279	0.8661100957	0.3234808152
280	0.8659508596	0.3233607263
281	0.8666754452	0.3232428812
282	0.8661956754	0.3231086366
283	0.8664404993	0.3228964571
284	0.8665997003	0.3227984068
285	0.8668016928	0.322676803
286	0.8663240768	0.322512699
287	0.8663098081	0.3223678238
288	0.8666282421	0.3222747953
289	0.8666710583	0.3221433902
290	0.8669180236	0.3220026129
291	0.8670036719	0.3218800351
292	0.867219917	0.3216642757
293	0.867219917	0.3215944942
294	0.8670750585	0.3214706092
295	0.8670750585	0.3213777437
296	0.8671342487	0.3211532574
297	0.8672056378	0.3210516317
298	0.867336187	0.3207172174
299	0.8675543559	0.3205536937
300	0.8676848134	0.3203787426
301	0.867800961	0.3202572888
302	0.8676990932	0.3201271796
303	0.8677419355	0.3199752612
304	0.8678580832	0.3198245772
305	0.8678723649	0.3197564964
306	0.867582915	0.319628888
307	0.8677276543	0.3194929762
308	0.8676276988	0.3193832397
309	0.8676848134	0.3192717243
310	0.8677866816	0.3190557682
311	0.8676134213	0.3189292862
312	0.8678295211	0.3187714481
313	0.8677724027	0.3186082637
314	0.8679313579	0.3182794585
315	0.867959919	0.318195281
316	0.8682634731	0.3180524406
317	0.8681617006	0.3179937756
318	0.8681902693	0.3178916759
319	0.8680456139	0.3178212616
320	0.8683348963	0.3176387878
321	0.8684206196	0.3175169367
322	0.8682902748	0.3172272206
323	0.8683331413	0.3171105826
324	0.8683903033	0.3169641723
325	0.868404595	0.3168659707
326	0.8689258102	0.3166211548
327	0.8689258102	0.3165537963
328	0.8692291245	0.3164008873
329	0.8691132203	0.3163085452
330	0.8695037327	0.3162028164
331	0.869749626	0.3160835101
332	0.8697210304	0.3159507056
333	0.8699225749	0.3157623492
334	0.869735328	0.3156304781
335	0.8697782235	0.3155242616
336	0.8699225749	0.3154374789
337	0.8699368753	0.3153141687
338	0.8699797794	0.3152360137
339	0.8700512955	0.3150849529
340	0.8699498479	0.3149969314
341	0.8700656002	0.3148553465
342	0.8699212391	0.3147271184
343	0.8702099328	0.3145807204
344	0.8703685439	0.314497895
345	0.8704400861	0.3144068316
346	0.8704114678	0.3143534051
347	0.8704114678	0.3142690634
348	0.8703100852	0.3141013785
349	0.8702242388	0.3138459401
350	0.8702385454	0.3137695964
351	0.870484205	0.3135555247
352	0.8704412852	0.3134545048
353	0.8706141432	0.3133230365
354	0.8707154359	0.3131726179
355	0.870772669	0.3130358477
356	0.8708155988	0.3129029007
357	0.8708155988	0.3128082603
358	0.8706999984	0.3126877961
359	0.870901471	0.3124994765
360	0.8709884151	0.3123689389
361	0.8710170411	0.3122013816
362	0.8710016766	0.3119985874
363	0.8710446289	0.3119017112
364	0.8712174756	0.3118115071
365	0.8712031558	0.3117243083
366	0.8713616567	0.3116148646
367	0.8714046218	0.3115181593
368	0.8713616567	0.3114112018
369	0.8714046218	0.311342257
370	0.8714619153	0.3112138111
371	0.8715487773	0.3111119452
372	0.8715344541	0.3110079608
373	0.871577425	0.3108210331
374	0.8714762398	0.3106912416
375	0.8713893501	0.3105769084
376	0.8715621969	0.3105177918
377	0.8718505005	0.3102785363
378	0.8717493507	0.3101592776
379	0.8716051818	0.3099608299
380	0.8721386903	0.3097562499
381	0.8722827426	0.309554714
382	0.8724124335	0.3094366673
383	0.8724554342	0.3092819712
384	0.8727290647	0.3091927923
385	0.872757737	0.3091187679
386	0.872757737	0.3089937592
387	0.8730599307	0.3087864807
388	0.8726854514	0.3086295054
389	0.8728007491	0.3084437041
390	0.8726854514	0.3083552554
391	0.8728724453	0.3081615132
392	0.8728581051	0.3080926886
393	0.8730594207	0.3080117248
394	0.8730737638	0.3079098917
395	0.8733472398	0.3078132366
396	0.873448072	0.3076407312
397	0.8736062532	0.3075260566
398	0.8738074517	0.307408406
399	0.8738791999	0.3073047035
400	0.8738791999	0.3071600116
401	0.8743104807	0.3070121725
402	0.8741523963	0.3068919549
403	0.8744111226	0.306742724
404	0.8745691495	0.3066352072
405	0.8747845783	0.3064045319
406	0.8748564114	0.3062550117
407	0.8748276994	0.3061122621
408	0.8748133441	0.3060228694
409	0.8750574185	0.3059411121
410	0.875	0.3058255453
411	0.8750861305	0.305713558
412	0.875	0.3055921261
413	0.8750287158	0.3054416826
414	0.8751148746	0.3053081063
415	0.8752584425	0.3052026392
416	0.8752871677	0.3051214398
417	0.8753589891	0.3049774726
418	0.8753302591	0.3048547236
419	0.8752871677	0.3047030874
420	0.8751723232	0.3046205476
421	0.8753446239	0.3044539857
422	0.8753302591	0.3043112084
423	0.8752154147	0.3041583403
424	0.8750574486	0.3040530117
425	0.874971271	0.3039126943
426	0.8749569072	0.3038025768
427	0.8750574637	0.3036893734
428	0.8748707003	0.3036206509
429	0.8751580019	0.3035048087
430	0.8752154712	0.3034178337
431	0.8752298398	0.3032803929
432	0.8754021932	0.3031603205
433	0.8754308223	0.3030044115
434	0.8755600046	0.3028880108
435	0.8755887421	0.3027699912
436	0.8760336002	0.3026141158
437	0.876047973	0.3025027571
438	0.876047973	0.3023965145
439	0.8761054687	0.3023238975
440	0.8758326497	0.3021289009
441	0.875961996	0.3020048501
442	0.8759763702	0.3018974237
443	0.8760482481	0.3017608536
444	0.8764782102	0.3016448668
445	0.8763923293	0.3015138607
446	0.8764067063	0.301379605
447	0.8765213398	0.3012751513
448	0.8766215662	0.3011756523
449	0.8766503206	0.3010798746
450	0.8770088554	0.3008913686
451	0.8769513315	0.3007245956
452	0.8771803279	0.3005788032
453	0.8772522338	0.300495549
454	0.8774242201	0.3004228812
455	0.8774098361	0.3002874175
456	0.87722347	0.3001321246
457	0.87748111	0.3000306432
458	0.8773379231	0.2999282598
459	0.8774235844	0.2998144485
460	0.8775811209	0.2997235559
461	0.8774667279	0.2995908674
462	0.8775242591	0.2995040899
463	0.8774529895	0.2994169473
464	0.8774529895	0.2992686316
465	0.8774529895	0.2991886224
466	0.8777249631	0.2991061644
467	0.8778681002	0.2990200052
468	0.8779968209	0.2989234337
469	0.877925654	0.2988021034
470	0.8781399007	0.2986508714
471	0.8781686794	0.2985282338
472	0.8780255977	0.2984293817
473	0.8780687666	0.2983525495
474	0.8779688243	0.298254459
475	0.8781695104	0.2981055052
476	0.878155117	0.2979785205
477	0.878155117	0.2979117046
478	0.8782694199	0.2977781593
479	0.8783405155	0.2976480054
480	0.8783549074	0.2975530366
481	0.8784268742	0.2973978601
482	0.8784979356	0.2972671558
483	0.878512329	0.2972003444
484	0.878440367	0.2971065393
485	0.8785267228	0.296990364
486	0.8789700414	0.2968512665
487	0.8787129118	0.2967305757
488	0.878740725	0.2966045801
489	0.8787839077	0.2965223667
490	0.8788126986	0.2964512288
491	0.8788980608	0.2963869478
492	0.8788980608	0.2963255168
493	0.8790697674	0.2962123672
494	0.8790841645	0.2961409915
495	0.8790841645	0.2960522156
496	0.8791273585	0.2959407082
497	0.8791561568	0.2958305043
498	0.8790420339	0.2957184509
499	0.879228161	0.2956232988
